"","Species","Countries","Hosts","Isolates"
"105","Endomelanconiopsis sp.",2,2,2
"106","Eutiarosporella africana",2,1,1
"107","Eutiarosporella dactylidis",3,5,22
"108","Eutiarosporella darliae",1,1,5
"109","Eutiarosporella pseudodarliae",1,1,0
"110","Eutiarosporella sp.",1,1,1
"111","Eutiarosporella tritici",1,2,1
"112","Eutiarosporella tritici-australis",1,2,17
"113","Eutiarosporella urbis-rosarum",1,1,0
"114","Lasiodiplodia acaciae",1,1,1
"115","Lasiodiplodia aquilariae",1,1,1
"116","Lasiodiplodia avicenniae",2,1,4
"117","Lasiodiplodia brasiliensis",23,35,133
"118","Lasiodiplodia bruguierae",1,1,3
"119","Lasiodiplodia chiangraiensis",1,1,4
"120","Lasiodiplodia chonburiensis",1,2,1
"121","Lasiodiplodia cinnamomi",1,1,2
"122","Lasiodiplodia citricola",8,16,89
"123","Lasiodiplodia clavispora",1,1,2
"124","Lasiodiplodia crassispora",18,23,60
"125","Lasiodiplodia endophytica",1,1,1
"126","Lasiodiplodia euphorbiaceicola",3,3,13
"127","Lasiodiplodia euphorbicola",11,12,105
"128","Lasiodiplodia fujianensis",1,1,1
"129","Lasiodiplodia gilanensis",7,11,24
"130","Lasiodiplodia gonubiensis",8,19,42
"131","Lasiodiplodia gravistriata",1,1,4
"132","Lasiodiplodia hormozganensis",14,27,69
"133","Lasiodiplodia indica",1,1,1
"134","Lasiodiplodia iraniensis",24,50,178
"135","Lasiodiplodia krabiensis",1,1,1
"136","Lasiodiplodia laeliocattleyae",9,17,37
"137","Lasiodiplodia lignicola",8,13,19
"138","Lasiodiplodia lodoiceae",1,1,3
"139","Lasiodiplodia macrospora",1,1,1
"140","Lasiodiplodia magnoliae",1,1,1
"141","Lasiodiplodia mahajangana",25,38,267
"142","Lasiodiplodia margaritacea",6,10,15
"143","Lasiodiplodia marypalmiae",1,1,0
"144","Lasiodiplodia mediterranea",5,8,22
"145","Lasiodiplodia mexicanensis",1,1,2
"146","Lasiodiplodia microcondia",1,1,1
"147","Lasiodiplodia nanpingensis",1,1,2
"148","Lasiodiplodia parva",15,26,54
"149","Lasiodiplodia plurivora",3,4,6
"150","Lasiodiplodia pontae",2,3,4
"151","Lasiodiplodia pseudotheobromae",48,161,760
"152","Lasiodiplodia rubropurpurea",5,4,9
"153","Lasiodiplodia sp.",36,138,687
"154","Lasiodiplodia subglobosa",3,9,10
"155","Lasiodiplodia syzygii",2,2,2
"156","Lasiodiplodia thailandica",5,13,14
"157","Lasiodiplodia theobromae",103,788,2463
"158","Lasiodiplodia tropica",1,1,0
"159","Lasiodiplodia venezuelensis",5,7,13
"160","Lasiodiplodia viticola",8,5,16
"161","Lasiodiplodia vitis",1,1,1
"162","Macrophomina euphorbiicola",3,5,30
"163","Macrophomina phaseolina",88,551,1551
"164","Macrophomina pseudophaseolina",9,20,146
"165","Macrophomina sp.",15,21,60
"166","Macrophomina tecta",1,2,8
"167","Macrophomina vaccinii",1,3,12
"168","Marasasiomyces karoo",1,3,1
"169","Mucoharknessia anthoxanthi",1,2,4
"170","Mucoharknessia cortaderiae",1,1,2
"171","Neodeightonia licuriensis",1,1,1
"172","Neodeightonia palmicola",2,3,4
"173","Neodeightonia phoenicum",8,10,25
"174","Neodeightonia planchoniae",1,1,1
"175","Neodeightonia rattanica",1,1,5
"176","Neodeightonia rattanicola",1,1,2
"177","Neodeightonia sp.",4,4,7
"178","Neodeightonia subglobosa",9,8,12
"179","Neofusicoccum arbuti",5,16,49
"180","Neofusicoccum australe",17,110,519
"181","Neofusicoccum brasiliense",4,6,9
"182","Neofusicoccum buxi",2,1,0
"183","Neofusicoccum caryigenum",1,1,16
"184","Neofusicoccum cordaticola",4,5,21
"185","Neofusicoccum cryptoaustrale",7,22,54
"186","Neofusicoccum dianense",1,2,6
"187","Neofusicoccum eucalypti",1,1,0
"188","Neofusicoccum eucalypticola",2,4,6
"189","Neofusicoccum eucalyptorum",10,17,79
"190","Neofusicoccum grevilleae",2,2,3
"191","Neofusicoccum hellenicum",3,2,8
"192","Neofusicoccum hongkongense",1,1,3
"193","Neofusicoccum illicii",1,1,4
"194","Neofusicoccum kwambonambiense",12,35,83
"195","Neofusicoccum laricinum",2,2,2
"196","Neofusicoccum lumnitzerae",1,2,5
"197","Neofusicoccum luteum",18,97,304
"198","Neofusicoccum macroclavatum",3,8,9
"199","Neofusicoccum magniconidium",1,1,3
"200","Neofusicoccum mangiferae",12,21,95
"201","Neofusicoccum mediterraneum",15,30,371
"202","Neofusicoccum microconidium",2,3,5
"203","Neofusicoccum moracearum",1,1,2
"204","Neofusicoccum mystacidii",1,1,1
"205","Neofusicoccum ningerense",1,1,3
"206","Neofusicoccum nonquaesitum",3,15,70
"207","Neofusicoccum occulatum",9,24,35
"208","Neofusicoccum parviconidium",1,1,9
"209","Neofusicoccum parvum",53,294,2230
"210","Neofusicoccum pennatisporum",1,1,0
"211","Neofusicoccum pistaciae",1,1,1
"212","Neofusicoccum podocarpi",2,3,4
"213","Neofusicoccum protearum",6,20,42
"214","Neofusicoccum rapaneae",1,2,3
"215","Neofusicoccum ribis",46,273,308
"216","Neofusicoccum sinense",1,1,1
"217","Neofusicoccum sinoeucalypti",3,6,19
"218","Neofusicoccum sp.",30,105,383
"219","Neofusicoccum stellenboschiana",7,15,38
"220","Neofusicoccum ursorum",2,4,6
"221","Neofusicoccum variabile",1,1,5
"222","Neofusicoccum versiforme",1,1,0
"223","Neofusicoccum viticlavatum",2,5,7
"224","Neofusicoccum vitifusiforme",11,33,120
"225","Neofusicoccum yunnanense",2,3,55
"226","Neoscytalidium dimidiatum",32,91,647
"227","Neoscytalidium hyalinum",18,35,106
"228","Neoscytalidium sp.",8,8,24
"229","Oblongocollomyces variabilis",2,4,7
"230","Phaeobotryon aplospora",1,1,0
"231","Phaeobotryon aplosporum",1,2,0
"232","Phaeobotryon caraganae",1,1,0
"233","Phaeobotryon cercidis",1,1,0
"234","Phaeobotryon cupressi",5,6,16
"235","Phaeobotryon mamane",2,2,7
"236","Phaeobotryon negundinis",3,7,9
"237","Phaeobotryon quercicola",1,1,0
"238","Phaeobotryon rhoinum",1,1,0
"239","Phaeobotryon rhois",2,8,26
"240","Phaeobotryon sp.",3,11,27
"241","Phaeobotryon ulmi",3,2,3
