"","Species","Genus","Countries","Hosts","Isolates","Host.fungus.report"
"116","Eutiarosporella tritici-australis",NA,1,1,17,1
"117","Lasiodiplodia acaciae",NA,1,0,1,0
"118","Lasiodiplodia aquilariae",NA,1,1,1,1
"119","Lasiodiplodia avicenniae",NA,1,1,3,1
"120","Lasiodiplodia avicenniarum",NA,1,1,1,1
"121","Lasiodiplodia brasiliensis",NA,21,25,118,25
"122","Lasiodiplodia bruguierae",NA,1,1,3,1
"123","Lasiodiplodia caatinguensis",NA,3,8,11,8
"124","Lasiodiplodia chinensis",NA,1,5,6,5
"125","Lasiodiplodia chonburiensis",NA,1,0,1,0
"126","Lasiodiplodia cinnamomi",NA,1,1,2,1
"127","Lasiodiplodia citricola",NA,8,9,61,9
"128","Lasiodiplodia crassispora",NA,14,17,52,17
"129","Lasiodiplodia curvata",NA,1,1,2,1
"130","Lasiodiplodia egyptiacae",NA,2,0,2,0
"131","Lasiodiplodia endophytica",NA,1,1,1,1
"132","Lasiodiplodia euphorbicola",NA,11,10,105,10
"133","Lasiodiplodia exigua",NA,11,11,217,11
"134","Lasiodiplodia gilanensis",NA,5,6,17,6
"135","Lasiodiplodia gonubiensis",NA,8,15,41,15
"136","Lasiodiplodia gravistriata",NA,1,1,4,1
"137","Lasiodiplodia hormozganensis",NA,14,22,63,22
"138","Lasiodiplodia hyalina",NA,2,1,2,1
"139","Lasiodiplodia indica",NA,1,0,1,0
"140","Lasiodiplodia iranensis",NA,26,37,159,37
"141","Lasiodiplodia irregularis",NA,1,1,1,1
"142","Lasiodiplodia jatrophicola",NA,2,0,3,0
"143","Lasiodiplodia krabiensis",NA,1,0,1,0
"144","Lasiodiplodia laeliocattleyae",NA,8,11,35,11
"145","Lasiodiplodia laosensis",NA,1,1,2,1
"146","Lasiodiplodia lignicola",NA,5,3,7,3
"147","Lasiodiplodia macroconidia",NA,1,1,1,1
"148","Lasiodiplodia macrospora",NA,1,1,1,1
"149","Lasiodiplodia magnoliae",NA,1,1,1,1
"150","Lasiodiplodia mahajangana",NA,9,16,27,16
"151","Lasiodiplodia margaritacea",NA,6,8,15,8
"152","Lasiodiplodia mediterranea",NA,4,4,25,4
"153","Lasiodiplodia microcondia",NA,1,1,1,1
"154","Lasiodiplodia missouriana",NA,3,2,4,2
"155","Lasiodiplodia pandanicola",NA,2,1,2,1
"156","Lasiodiplodia parva",NA,14,17,51,17
"157","Lasiodiplodia plurivora",NA,3,2,6,2
"158","Lasiodiplodia pontae",NA,2,2,4,2
"159","Lasiodiplodia pseudotheobromae",NA,44,132,658,132
"160","Lasiodiplodia pyriformis",NA,1,1,3,1
"161","Lasiodiplodia rubropurpurea",NA,5,3,9,3
"162","Lasiodiplodia sterculiae",NA,3,3,3,3
"163","Lasiodiplodia subglobosa",NA,3,8,10,8
"164","Lasiodiplodia swieteniae",NA,1,1,1,1
"165","Lasiodiplodia syzygii",NA,1,1,1,1
"166","Lasiodiplodia thailandica",NA,3,7,9,7
"167","Lasiodiplodia theobromae",NA,101,682,2235,682
"168","Lasiodiplodia vaccinii",NA,1,2,12,2
"169","Lasiodiplodia venezuelensis",NA,4,5,12,5
"170","Lasiodiplodia viticola",NA,7,3,15,3
"171","Lasiodiplodia vitis",NA,1,1,1,1
"172","Macrophomina euphorbiicola",NA,2,2,10,2
"173","Macrophomina phaseolina",NA,85,455,1313,455
"174","Macrophomina pseudophaseolina",NA,9,18,137,18
"175","Macrophomina sp.",NA,13,14,65,0
"176","Macrophomina vaccinii",NA,1,2,10,2
"177","Marasasiomyces karoo",NA,1,1,1,1
"178","Mucoharknessia anthoxanthi",NA,1,2,4,2
"179","Mucoharknessia cortaderiae",NA,1,1,2,1
"180","Neodeightonia licuriensis",NA,1,1,1,1
"181","Neodeightonia palmicola",NA,2,3,4,3
"182","Neodeightonia phoenicum",NA,5,5,18,5
"183","Neodeightonia planchoniae",NA,1,0,1,0
"184","Neodeightonia rattanica",NA,1,0,4,0
"185","Neodeightonia rattanicola",NA,1,0,2,0
"186","Neodeightonia subglobosa",NA,8,5,10,5
"187","Neofusicoccum andinum",NA,3,1,10,1
"188","Neofusicoccum arbuti",NA,4,11,39,11
"189","Neofusicoccum australe",NA,17,88,510,88
"190","Neofusicoccum batangarum",NA,9,15,69,15
"191","Neofusicoccum brasiliense",NA,3,5,8,5
"192","Neofusicoccum caryigenum",NA,1,1,8,1
"193","Neofusicoccum cordaticola",NA,4,3,21,3
"194","Neofusicoccum corticosae",NA,1,2,3,2
"195","Neofusicoccum cryptoaustrale",NA,5,19,53,19
"196","Neofusicoccum dianense",NA,1,1,5,1
"197","Neofusicoccum eucalypticola",NA,2,3,6,3
"198","Neofusicoccum eucalyptorum",NA,10,15,79,15
"199","Neofusicoccum grevilleae",NA,2,2,3,2
"200","Neofusicoccum hellenicum",NA,3,1,7,1
"201","Neofusicoccum hongkongense",NA,1,1,3,1
"202","Neofusicoccum illicii",NA,1,1,4,1
"203","Neofusicoccum italicum",NA,4,2,3,2
"204","Neofusicoccum kwambonambiense",NA,12,28,78,28
"205","Neofusicoccum lumnitzerae",NA,1,2,5,2
"206","Neofusicoccum luteum",NA,18,66,247,66
"207","Neofusicoccum macroclavatum",NA,3,5,9,5
"208","Neofusicoccum magniconidium",NA,1,0,2,0
"209","Neofusicoccum mangiferae",NA,11,17,89,17
"210","Neofusicoccum mangroviorum",NA,3,12,25,12
"211","Neofusicoccum mediterraneum",NA,15,21,349,21
"212","Neofusicoccum microconidium",NA,2,2,4,2
"213","Neofusicoccum mystacidii",NA,1,1,1,1
"214","Neofusicoccum ningerense",NA,1,0,2,0
"215","Neofusicoccum nonquaesitum",NA,3,12,68,12
"216","Neofusicoccum occulatum",NA,9,18,31,18
"217","Neofusicoccum pandanicola",NA,2,1,1,1
"218","Neofusicoccum parviconidium",NA,1,0,8,0
"219","Neofusicoccum parvum",NA,52,241,2049,241
"220","Neofusicoccum pistaciae",NA,1,1,1,1
"221","Neofusicoccum pistaciarum",NA,1,1,5,1
"222","Neofusicoccum pistaciicola",NA,1,1,2,1
"223","Neofusicoccum podocarpi",NA,2,3,4,3
"224","Neofusicoccum protearum",NA,6,16,42,16
"225","Neofusicoccum pruni",NA,1,1,1,1
"226","Neofusicoccum rapaneae",NA,1,1,3,1
"227","Neofusicoccum ribis",NA,41,218,164,218
"228","Neofusicoccum sinense",NA,1,0,1,0
"229","Neofusicoccum sinoeucalypti",NA,2,2,16,2
"230","Neofusicoccum stellenboschiana",NA,7,12,37,12
"231","Neofusicoccum umdonicola",NA,5,10,53,10
"232","Neofusicoccum ursorum",NA,2,2,6,2
"233","Neofusicoccum variabile",NA,1,1,5,1
"234","Neofusicoccum viticlavatum",NA,2,3,7,3
"235","Neofusicoccum vitifusiforme",NA,11,29,114,29
"236","Neofusicoccum yunnanense",NA,2,2,54,2
"237","Neoscytalidium dimidiatum",NA,30,55,511,55
"238","Neoscytalidium hyalinum",NA,17,29,98,29
"239","Neoscytalidium novaehollandiae",NA,6,24,72,24
"240","Neoscytalidium orchidacearum",NA,1,1,1,1
"241","Oblongocollomyces variabilis",NA,2,3,7,3
"242","Phaeobotryon cupressi",NA,5,4,16,4
"243","Phaeobotryon mamane",NA,2,2,7,2
"244","Phaeobotryon negundinis",NA,2,4,7,4
"245","Phaeobotryon rhois",NA,2,6,16,6
"246","Phaeobotryon ulmi",NA,3,2,3,2
"247","Sardiniella celtidis",NA,2,1,2,1
"248","Sardiniella urbana",NA,2,1,7,1
"249","Sphaeropsis chromolaenicola",NA,1,1,2,1
"250","Sphaeropsis citrigena",NA,3,1,3,1
"251","Sphaeropsis eucalypticola",NA,1,2,5,2
"252","Sphaeropsis porosa",NA,2,1,3,1
"253","Sphaeropsis visci",NA,19,4,157,4
